"X__1" "X__2" "Defunciones" "Tasa*" "Defunciones__1" "Tasa*__1" "Defunciones__2" "Tasa*__2" "Defunciones__3" "Tasa*__3" "Defunciones__4" "Tasa*__4" "Defunciones__5" "Tasa*__5" "Defunciones__6" "Tasa*__6" "Defunciones__7" "Tasa*__7" "Defunciones__8" "Tasa*__8" "Defunciones__9" "Tasa*__9" "Defunciones__10" "Tasa*__10" "Defunciones__11" "Tasa*__11" "Defunciones__12" "Tasa*__12" "Defunciones__13" "Tasa*__13" "Defunciones__14" "Tasa*__14" "Defunciones__15" "Tasa*__15" "Defunciones__16" "Tasa*__16" "Defunciones__17" "Tasa*__17" "Defunciones__18" "Tasa*__18" "Defunciones__19" "Tasa*__19" "Defunciones__20" "Tasa*__20" "Defunciones__21" "Tasa*__21" "Defunciones__22" "Tasa*__22" "Defunciones__23" "Tasa*__23" "Defunciones__24" "Tasa*__24" "Defunciones__25" "Tasa*__25" "Defunciones__26" "Tasa*__26" "Defunciones__27" "Tasa*__27" "Defunciones__28" "Tasa*__28" "Defunciones__29" "Tasa*__29"
"1" "Total" NA 467 6.72550007075336 436 9.85281083254783 31 1.23084819237866 510 7.08208011663306 486 10.7338482868828 24 0.897685878017206 442 6.05277927670794 413 9.07151024299988 29 1.05465453139138 512 6.58554284705935 470 9.99526902684988 42 1.36701784710462 470 5.83547923427154 441 9.17076958565159 29 0.893566041626953 492 6.03665001054578 459 9.49353287460203 33 0.99537138262971 486 5.86931523087831 450 9.17240105200664 36 1.06687820561003 434 5.14361034918333 404 8.1381397148582 30 0.863713581328319 450 5.25885937200005 409 8.11010621933463 41 1.16679535635685 454 5.22664344912965 423 8.26083012016589 31 0.8693915075382
"2" "V01-V99" "Accidentes de transporte" 251 3.61477626929142 222 5.01679817620554 29 1.15143863158004 290 4.02706516435998 269 5.94116294068203 21 0.785475143265056 251 3.43721176120745 227 4.98603589627354 24 0.872817543220455 293 3.7686797933367 255 5.42296511031217 38 1.23682567118989 294 3.65027849973582 268 5.57316609740278 26 0.801128175251751 285 3.49683994513322 259 5.35691724296716 26 0.784231998435529 311 3.7558786765497 277 5.64612242534631 34 1.00760719418725 291 3.44882629403767 264 5.31799228891724 27 0.777342223195487 303 3.54096531048003 273 5.41334718307666 30 0.853752699773309 316 3.63792803948231 287 5.60486582621185 29 0.813301732858316
"3" "W00-W19" "Caídas" 64 0.921695941173908 63 1.42368596892319 1 0.0397047803993116 44 0.611002990454617 42 0.927616518619499 2 0.0748071565014339 57 0.780562033421612 55 1.20807037134381 2 0.0727347952683712 60 0.771743302389767 59 1.25472526081733 1 0.0325480439786814 56 0.695291142806822 56 1.16454216960655 0 0 60 0.736176830554363 58 1.19961853317411 2 0.0603255383411945 62 0.74876037924785 61 1.24336992038312 1 0.0296355057113897 37 0.438510559723003 37 0.745324676855825 0 0 32 0.373963333120004 30 0.594873316821611 2 0.0569168466515539 45 0.518059372711089 45 0.878811714911265 0 0
"4" "W20-W49" "Exposición a fuerzas mecánicas inanimadas" 74 1.06571093198233 73 1.64966786875227 1 0.0397047803993116 64 0.888731622479443 64 1.41351088551543 0 0 53 0.725785750374481 53 1.16414053965858 0 0 64 0.823192855882419 64 1.36105791003913 0 0 57 0.70770705607123 57 1.18533756549238 0 0 76 0.932490652035527 73 1.50986470554673 3 0.0904883075117918 53 0.640069356453808 53 1.08030501279189 0 0 57 0.67554329470841 56 1.12805897037638 1 0.028790452710944 46 0.537572291360005 43 0.852651754110976 3 0.0853752699773308 46 0.52957180321578 45 0.878811714911265 1 0.0280448873399419
"5" "W50-W64" "Exposición a fuerzas mecánicas animadas" 0 0 0 0 0 0 0 0 0 0 0 0 2 0.0273881415235653 1 0.0219649158426147 1 0.0363673976341856 0 0 0 0 0 0 0 0 0 0 0 0 1 0.0122696138425727 1 0.0206830781581744 0 0 1 0.0120767803104492 1 0.0203831134489036 0 0 0 0 0 0 0 0 2 0.0233727083200002 2 0.0396582211214407 0 0 1 0.0115124305046909 1 0.0195291492202503 0 0
"6" "W65-W74" "Ahogamiento y sumersión accidentales" 7 0.100810493565896 7 0.158187329880355 0 0 15 0.20829647401862 15 0.331291613792678 0 0 13 0.178022919903175 12 0.263578990111377 1 0.0363673976341856 8 0.102899106985302 7 0.14886570891053 1 0.0325480439786814 12 0.14899095917289 12 0.249544750629975 0 0 14 0.171774593796018 14 0.289563094214441 0 0 8 0.0966142424835936 8 0.163064907591229 0 0 2 0.0237032734985407 2 0.0402878203705852 0 0 2 0.0233727083200002 2 0.0396582211214407 0 0 4 0.0460497220187634 4 0.0781165968810014 0 0
"7" "W75-W84" "Otros accidentes que obstruyen la respiración" 3 0.043204497242527 3 0.0677945699487236 0 0 4 0.0555457264049652 4 0.0883444303447142 0 0 5 0.0684703538089133 5 0.109824579213074 0 0 11 0.141486272104791 11 0.233931828287976 0 0 5 0.0620795663220377 5 0.103976979429156 0 0 5 0.0613480692128636 4 0.0827323126326974 1 0.0301627691705973 2 0.0241535606208984 2 0.0407662268978073 0 0 3 0.0355549102478111 3 0.0604317305558777 0 0 2 0.0233727083200002 2 0.0396582211214407 0 0 7 0.080587013532836 7 0.136704044541752 0 0
"8" "W85-W87" "Exposición a la corriente eléctrica" 22 0.316832979778531 22 0.497160179623973 0 0 25 0.347160790031033 25 0.552152689654464 0 0 19 0.260187344473871 19 0.41733340100968 0 0 25 0.32155970932907 25 0.531663246109036 0 0 16 0.198654612230521 15 0.311930938287469 1 0.0308126221250673 22 0.2699315045366 22 0.455027719479836 0 0 13 0.15699814403584 13 0.264980474835747 0 0 20 0.237032734985407 20 0.402878203705852 0 0 22 0.257099791520003 21 0.416411321775128 1 0.028458423325777 14 0.161174027065672 14 0.273408089083505 0 0
"9" "W88-W99" "Exposición a la corriente eléctrica, radiación y termperatura, y presión del aire ambientales extremas" 2 0.0288029981616846 2 0.0451963799658157 0 0 3 0.0416592948037239 3 0.0662583227585357 0 0 1 0.0136940707617827 1 0.0219649158426147 0 0 3 0.0385871651194884 3 0.0637995895330844 0 0 0 0 0 0 0 0 1 0.0122696138425727 1 0.0206830781581744 0 0 2 0.0241535606208984 2 0.0407662268978073 0 0 1 0.0118516367492704 1 0.0201439101852926 0 0 1 0.0116863541600001 1 0.0198291105607204 0 0 0 0 0 0 0 0
"10" "X00-X09" "Exposición al humo, fuego y llamas" 5 0.0720074954042116 5 0.112990949914539 0 0 9 0.124977884411172 9 0.198774968275607 0 0 3 0.041082212285348 2 0.0439298316852294 1 0.0363673976341856 3 0.0385871651194884 3 0.0637995895330844 0 0 3 0.0372477397932226 2 0.0415907917716626 1 0.0308126221250673 9 0.110426524583154 9 0.186147703423569 0 0 3 0.0362303409313476 3 0.0611493403467109 0 0 5 0.0592581837463518 4 0.0805756407411703 1 0.028790452710944 3 0.0350590624800003 3 0.0594873316821611 0 0 6 0.0690745830281452 6 0.117174895321502 0 0
"11" "X10-X19" "Contacto con calor y sustancias calientes" 0 0 0 0 0 0 1 0.0138864316012413 1 0.0220861075861786 0 0 1 0.0136940707617827 1 0.0219649158426147 0 0 2 0.0257247767463256 2 0.0425330596887229 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0.0120767803104492 0 0 1 0.0296355057113897 0 0 0 0 0 0 0 0 NA 0 NA 0 0 0 0 0 0 0
"12" "X20-X29" "Contacto traumático con animales y plantas venenosos" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0.0128623883731628 1 0.0212665298443615 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0.0120767803104492 1 0.0203831134489036 0 0 0 0 0 0 0 0 1 0.0116863541600001 1 0.0198291105607204 0 0 1 0.0115124305046909 1 0.0195291492202503 0 0
"13" "X30-X39" "Exposición a fuerzas de la naturaleza" 0 0 0 0 0 0 2 0.0277728632024826 2 0.0441722151723571 0 0 3 0.041082212285348 3 0.0658947475278441 0 0 9 0.115761495358465 9 0.191398768599253 0 0 2 0.0248318265288151 2 0.0415907917716626 0 0 0 0 0 0 0 0 3 0.0362303409313476 3 0.0611493403467109 0 0 1 0.0118516367492704 1 0.0201439101852926 0 0 9 0.105177187440001 7 0.138803773925043 2 0.0569168466515539 1 0.0115124305046909 1 0.0195291492202503 0 0
