"Región, Grupo Actividad Económica (CIUU)" "X__1" "2007" "X__2" "X__3" "X__4" "X__5" "X__6" "2008" "X__7" "X__8" "X__9" "X__10" "X__11" "2009" "X__12" "X__13" "X__14" "X__15" "X__16" "2010" "X__17" "X__18" "X__19" "X__20" "X__21" "2011" "X__22" "X__23" "X__24" "X__25" "X__26" "2012" "X__27" "X__28" "X__29" "X__30" "X__31" "2013" "X__32" "X__33" "X__34" "X__35" "X__36" "2014" "X__37" "X__38" "X__39" "X__40" "X__41" "2015" "X__42" "X__43" "X__44" "X__45" "X__46" "2016" "X__47" "X__48" "X__49" "X__50" "X__51"
"1" NA NA "Ambos sexos" NA "Hombres" NA "Mujeres" NA "Ambos sexos" NA "Hombres" NA "Mujeres" NA "Ambos sexos" NA "Hombres" NA "Mujeres" NA "Ambos sexos" NA "Hombres" NA "Mujeres" NA "Ambos sexos" NA "Hombres" NA "Mujeres" NA "Ambos sexos" NA "Hombres" NA "Mujeres" NA "Ambos sexos" NA "Hombres" NA "Mujeres" NA "Ambos sexos" NA "Hombres" NA "Mujeres" NA "Ambos sexos" NA "Hombres" NA "Mujeres" NA "Ambos sexos" NA "Hombres" NA "Mujeres" NA
"2" NA NA "Nº Def" "%" "Nº Def" "%" "Nº Def" "%" "Nº Def" "%" "Nº Def" "%" "Nº Def" "%" "Nº Def" "%" "Nº Def" "%" "Nº Def" "%" "Nº Def" "%" "Nº Def" "%" "Nº Def" "%" "Nº Def" "%" "Nº Def" "%" "Nº Def" "%" "Nº Def" "%" "Nº Def" "%" "Nº Def" "%" "Nº Def" "%" "Nº Def" "%" "Nº Def" "%" "Nº Def" "%" "Nº Def" "%" "Nº Def" "%" "Nº Def" "%" "Nº Def" "%" "Nº Def" "%" "Nº Def" "%" "Nº Def" "%" "Nº Def" "%"
"3" "Total País" NA "467" "1" "436" "0.99999999999999978" "31" "0.99999999999999989" "510" "0.99999999999999989" "486" "0.99999999999999989" "24" "0.99999999999999989" "442" "1" "413" "1" "29" "0.99999999999999989" "512" "1" "470" "0.99999999999999989" "42" "1" "470" "1" "441" "1" "29" "0.99999999999999989" "492" "0.99999999999999989" "459" "1" "33" "0.99999999999999978" "486" "1" "450" "1" "36" "1" "434" "1" "404" "1" "30" "1" "450" "1" "409" "1" "41" "1" "454" "1" "423" "1" "31" "1"
"4" NA "Actividades Inmobiliarias, Empresariales Y De Alquiler" "29" "6.2098501070663809E-2" "27" "6.1926605504587159E-2" "2" "6.4516129032258063E-2" "38" "7.4509803921568626E-2" "37" "7.6131687242798354E-2" "1" "4.1666666666666664E-2" "33" "7.4660633484162894E-2" "32" "7.7481840193704604E-2" "1" "3.4482758620689655E-2" "38" "7.421875E-2" "35" "7.4468085106382975E-2" "3" "7.1428571428571425E-2" "37" "7.8723404255319152E-2" "35" "7.9365079365079361E-2" "2" "6.8965517241379309E-2" "43" "8.7398373983739841E-2" "35" "7.6252723311546838E-2" "8" "0.24242424242424243" "50" "0.102880658436214" "42" "9.3333333333333338E-2" "8" "0.22222222222222221" "32" "7.3732718894009217E-2" "29" "7.1782178217821777E-2" "3" "0.1" "50" "0.1111111111111111" "48" "0.11735941320293398" "2" "4.878048780487805E-2" "46" "0.1013215859030837" "42" "9.9290780141843976E-2" "4" "0.12903225806451613"
"5" NA "Adm. Publica Y Defensa; Planes De Seg. Social Afiliación Obligatoria" "15" "3.2119914346895075E-2" "12" "2.7522935779816515E-2" "3" "9.6774193548387094E-2" "23" "4.5098039215686274E-2" "20" "4.1152263374485597E-2" "3" "0.125" "19" "4.2986425339366516E-2" "10" "2.4213075060532687E-2" "9" "0.31034482758620691" "10" "1.953125E-2" "8" "1.7021276595744681E-2" "2" "4.7619047619047616E-2" "9" "1.9148936170212766E-2" "6" "1.3605442176870748E-2" "3" "0.10344827586206896" "10" "2.032520325203252E-2" "7" "1.5250544662309368E-2" "3" "9.0909090909090912E-2" "9" "1.8518518518518517E-2" "7" "1.5555555555555555E-2" "2" "5.5555555555555552E-2" "9" "2.0737327188940093E-2" "5" "1.2376237623762377E-2" "4" "0.13333333333333333" "14" "3.111111111111111E-2" "8" "1.9559902200488997E-2" "6" "0.14634146341463414" "15" "3.3039647577092511E-2" "9" "2.1276595744680851E-2" "6" "0.19354838709677419"
"6" NA "Agricultura, Ganadería, Caza Y Silvicultura" "85" "0.18201284796573874" "77" "0.17660550458715596" "8" "0.25806451612903225" "85" "0.16666666666666666" "82" "0.16872427983539096" "3" "0.125" "92" "0.20814479638009051" "85" "0.20581113801452786" "7" "0.2413793103448276" "78" "0.15234375" "72" "0.15319148936170213" "6" "0.14285714285714285" "60" "0.1276595744680851" "57" "0.12925170068027211" "3" "0.10344827586206896" "85" "0.17276422764227642" "84" "0.18300653594771241" "1" "3.0303030303030304E-2" "55" "0.11316872427983539" "51" "0.11333333333333333" "4" "0.1111111111111111" "54" "0.12442396313364056" "51" "0.12623762376237624" "3" "0.1" "0" "0" "0" "0" "0" "0" "55" "0.1211453744493392" "51" "0.12056737588652482" "4" "0.12903225806451613"
"7" NA "Comercio Al Por Mayor Y Menor; Rep. Veh.Automotores/Enseres Domésticos" "37" "7.922912205567452E-2" "36" "8.2568807339449546E-2" "1" "3.2258064516129031E-2" "59" "0.11568627450980393" "54" "0.1111111111111111" "5" "0.20833333333333334" "43" "9.7285067873303169E-2" "38" "9.2009685230024216E-2" "5" "0.17241379310344829" "41" "8.0078125E-2" "39" "8.2978723404255314E-2" "2" "4.7619047619047616E-2" "43" "9.1489361702127653E-2" "38" "8.6167800453514742E-2" "5" "0.17241379310344829" "49" "9.959349593495935E-2" "44" "9.586056644880174E-2" "5" "0.15151515151515152" "42" "8.6419753086419748E-2" "39" "8.666666666666667E-2" "3" "8.3333333333333329E-2" "41" "9.4470046082949302E-2" "38" "9.405940594059406E-2" "3" "0.1" "47" "0.10444444444444445" "41" "0.10024449877750612" "6" "0.14634146341463414" "37" "8.1497797356828189E-2" "33" "7.8014184397163122E-2" "4" "0.12903225806451613"
"8" NA "Consejo De Administración De Edificios Y Condominios" "1" "2.1413276231263384E-3" "1" "2.2935779816513763E-3" "0" "0" "0" "0" "0" "0" "0" "0" "2" "4.5248868778280547E-3" "1" "2.4213075060532689E-3" "1" "3.4482758620689655E-2" "0" "0" "0" "0" "0" "0" "1" "2.1276595744680851E-3" "1" "2.2675736961451248E-3" "0" "0" "1" "2.0325203252032522E-3" "1" "2.1786492374727671E-3" "0" "0" "6" "1.2345679012345678E-2" "4" "8.8888888888888889E-3" "2" "5.5555555555555552E-2" "5" "1.1520737327188941E-2" "4" "9.9009900990099011E-3" "1" "3.3333333333333333E-2" "2" "4.4444444444444444E-3" "1" "2.4449877750611247E-3" "1" "2.4390243902439025E-2" "0" "0" "0" "0" "0" "0"
"9" NA "Construcción" "116" "0.24839400428265523" "111" "0.25458715596330272" "5" "0.16129032258064516" "85" "0.16666666666666666" "82" "0.16872427983539096" "3" "0.125" "89" "0.20135746606334842" "88" "0.21307506053268765" "1" "3.4482758620689655E-2" "97" "0.189453125" "90" "0.19148936170212766" "7" "0.16666666666666666" "82" "0.17446808510638298" "82" "0.18594104308390022" "0" "0" "85" "0.17276422764227642" "84" "0.18300653594771241" "1" "3.0303030303030304E-2" "114" "0.23456790123456789" "113" "0.25111111111111112" "1" "2.7777777777777776E-2" "92" "0.2119815668202765" "92" "0.22772277227722773" "0" "0" "85" "0.18888888888888888" "82" "0.20048899755501223" "3" "7.3170731707317069E-2" "92" "0.20264317180616739" "89" "0.21040189125295508" "3" "9.6774193548387094E-2"
"10" NA "Enseñanza" "3" "6.4239828693790149E-3" "2" "4.5871559633027525E-3" "1" "3.2258064516129031E-2" "2" "3.9215686274509803E-3" "2" "4.11522633744856E-3" "0" "0" "4" "9.0497737556561094E-3" "3" "7.2639225181598066E-3" "1" "3.4482758620689655E-2" "10" "1.953125E-2" "7" "1.4893617021276596E-2" "3" "7.1428571428571425E-2" "3" "6.382978723404255E-3" "1" "2.2675736961451248E-3" "2" "6.8965517241379309E-2" "9" "1.8292682926829267E-2" "1" "2.1786492374727671E-3" "8" "0.24242424242424243" "8" "1.646090534979424E-2" "5" "1.1111111111111112E-2" "3" "8.3333333333333329E-2" "6" "1.3824884792626729E-2" "4" "9.9009900990099011E-3" "2" "6.6666666666666666E-2" "7" "1.5555555555555555E-2" "5" "1.2224938875305624E-2" "2" "4.878048780487805E-2" "2" "4.4052863436123352E-3" "1" "2.3640661938534278E-3" "1" "3.2258064516129031E-2"
